parcel_id,vector_class,spatial_group_30m,spatial_cv_fold
868,2,308,1
869,2,275,0
870,2,263,4
871,2,414,4
872,2,248,1
873,2,309,2
874,2,261,1
875,2,290,0
876,2,423,2
877,2,498,2
878,2,498,2
879,2,341,2
880,2,318,3
881,2,341,2
882,2,280,1
883,2,341,2
884,2,414,4
885,2,302,3
886,2,322,2
887,2,263,4
888,2,259,0
889,2,253,3
890,2,263,4
891,2,267,1
892,2,341,2
893,2,253,3
894,2,330,0
895,2,423,2
896,2,414,4
897,2,258,4
898,2,308,1
899,2,516,1
900,2,330,0
901,2,498,2
902,2,341,2
903,2,440,3
904,2,290,0
905,2,341,2
906,2,327,4
907,2,341,2
908,2,263,4
909,2,302,3
910,2,309,2
911,2,308,1
912,2,327,4
913,2,516,1
914,2,275,0
915,2,259,0
916,2,327,4
917,2,341,2
918,2,261,1
919,2,341,2
920,2,308,1
921,2,423,2
922,2,440,3
923,2,419,1
924,2,280,1
925,2,341,2
926,2,308,1
927,2,414,4
928,2,318,3
929,2,382,2
930,2,302,3
931,3,549,1
932,3,932,4
933,3,933,2
934,3,934,4
935,3,935,3
936,3,649,0
937,3,688,1
938,3,938,0
939,3,533,1
940,3,639,2
941,3,941,1
942,3,942,4
943,3,562,1
944,3,526,0
945,3,945,4
946,3,946,2
947,3,623,4
948,3,704,3
949,3,513,0
950,3,585,3
951,3,562,1
952,3,601,2
953,3,677,2
954,3,954,1
955,3,955,4
956,3,956,2
957,3,957,3
958,3,523,4
959,3,989,1
960,3,960,3
961,3,620,4
962,3,522,2
963,3,963,0
964,3,511,2
965,3,989,1
966,3,966,1
967,3,522,2
968,3,968,4
969,3,528,0
970,3,671,4
971,3,971,0
972,3,972,0
973,3,973,2
974,3,974,3
975,3,653,4
976,3,562,1
977,3,655,2
978,3,978,4
979,3,979,1
980,3,649,0
981,3,562,1
982,3,707,0
983,3,543,4
984,3,984,0
985,3,538,1
986,3,597,1
987,3,987,2
988,3,649,0
989,3,989,1
990,3,562,1
991,3,991,2
992,3,523,4
993,3,991,2
994,3,517,0
995,3,995,3
996,3,588,1
997,3,997,4
998,3,675,1
999,3,526,0
1000,3,537,4
1001,3,1001,0
1002,3,1002,2
1003,3,1003,4
1004,3,644,4
1005,3,562,1
1006,3,562,1
1007,3,520,3
1008,3,1008,1
1009,3,1009,3
1010,3,562,1
1011,3,517,0
1012,3,562,1
1013,3,539,2
1014,3,1014,3
1015,3,539,2
1016,3,1009,3
1017,3,1017,2
1018,3,673,4
1019,3,562,1
1020,3,539,2
1021,3,604,4
1022,3,989,1
