row_id,polygon_id,ring_id,distance_px,distance_map,raster_row,raster_col,x,y,original_polygon_id
32,735,0,0.588317,5.3e-05,1427,2511,104.126285,30.837502,1077
33,735,0,0.037187,3e-06,1428,2510,104.126195,30.837412,1077
34,65,0,0.391554,3.5e-05,379,792,103.971864,30.931645,65
35,65,0,0.290688,2.6e-05,379,793,103.971954,30.931645,65
36,65,0,0.230787,2.1e-05,380,791,103.971775,30.931555,65
37,65,0,0.979052,8.8e-05,380,792,103.971864,30.931555,65
38,65,1,1.086923,9.8e-05,380,793,103.971954,30.931555,65
39,65,0,0.771425,6.9e-05,380,794,103.972044,30.931555,65
40,65,0,0.353111,3.2e-05,380,795,103.972134,30.931555,65
41,65,0,0.058979,5e-06,381,792,103.971864,30.931466,65
42,65,0,0.497755,4.5e-05,381,793,103.971954,30.931466,65
43,65,0,0.814336,7.3e-05,381,794,103.972044,30.931466,65
44,65,0,0.097274,9e-06,381,795,103.972134,30.931466,65
45,88,0,0.166979,1.5e-05,1489,2383,104.114786,30.831932,88
46,88,0,0.401929,3.6e-05,1490,2382,104.114697,30.831842,88
47,88,0,0.951276,8.5e-05,1490,2383,104.114786,30.831842,88
48,88,0,0.516759,4.6e-05,1490,2384,104.114876,30.831842,88
49,88,0,0.712938,6.4e-05,1491,2383,104.114786,30.831753,88
50,88,1,1.19518,0.000107,1491,2384,104.114876,30.831753,88
51,88,0,0.491459,4.4e-05,1491,2385,104.114966,30.831753,88
52,88,0,0.764886,6.9e-05,1492,2384,104.114876,30.831663,88
53,88,1,1.170591,0.000105,1492,2385,104.114966,30.831663,88
54,88,0,0.441766,4e-05,1492,2386,104.115056,30.831663,88
55,88,0,0.024946,2e-06,1493,2384,104.114876,30.831573,88
56,88,0,0.777533,7e-05,1493,2385,104.114966,30.831573,88
57,88,1,1.201022,0.000108,1493,2386,104.115056,30.831573,88
58,88,0,0.615011,5.5e-05,1493,2387,104.115146,30.831573,88
59,88,0,0.228728,2.1e-05,1494,2385,104.114966,30.831483,88
60,88,0,0.600878,5.4e-05,1494,2386,104.115056,30.831483,88
61,88,0,0.479978,4.3e-05,1494,2387,104.115146,30.831483,88
62,207,0,0.255167,2.3e-05,866,1375,104.024236,30.887897,207
63,207,0,0.314834,2.8e-05,866,1376,104.024326,30.887897,207
64,207,0,0.2761,2.5e-05,866,1377,104.024416,30.887897,207
65,207,0,0.314834,2.8e-05,866,1378,104.024506,30.887897,207
66,207,0,0.599693,5.4e-05,867,1375,104.024236,30.887807,207
67,207,1,1.314834,0.000118,867,1376,104.024326,30.887807,207
68,207,0,0.955841,8.6e-05,867,1377,104.024416,30.887807,207
69,207,0,0.072974,7e-06,867,1378,104.024506,30.887807,207
70,207,0,0.227925,2e-05,868,1375,104.024236,30.887718,207
71,207,0,0.516174,4.6e-05,868,1376,104.024326,30.887718,207
72,207,0,0.560462,5e-05,868,1377,104.024416,30.887718,207
73,749,0,0.230311,2.1e-05,859,1378,104.024506,30.888526,1091
74,749,0,0.594238,5.3e-05,859,1379,104.024595,30.888526,1091
75,749,0,0.594238,5.3e-05,859,1380,104.024685,30.888526,1091
76,749,0,0.282391,2.5e-05,859,1381,104.024775,30.888526,1091
77,749,0,0.230311,2.1e-05,860,1378,104.024506,30.888436,1091
78,749,1,1.230311,0.000111,860,1379,104.024595,30.888436,1091
79,749,1,1.268005,0.000114,860,1380,104.024685,30.888436,1091
80,749,0,0.268107,2.4e-05,860,1381,104.024775,30.888436,1091
81,749,0,0.292487,2.6e-05,861,1378,104.024506,30.888346,1091
82,749,1,1.258995,0.000113,861,1379,104.024595,30.888346,1091
83,749,1,1.253721,0.000113,861,1380,104.024685,30.888346,1091
84,749,0,0.253823,2.3e-05,861,1381,104.024775,30.888346,1091
85,749,0,0.304681,2.7e-05,862,1378,104.024506,30.888257,1091
86,749,1,1.304607,0.000117,862,1379,104.024595,30.888257,1091
87,749,1,1.239437,0.000111,862,1380,104.024685,30.888257,1091
88,749,0,0.239539,2.2e-05,862,1381,104.024775,30.888257,1091
89,749,0,0.316876,2.8e-05,863,1378,104.024506,30.888167,1091
90,749,1,1.316801,0.000118,863,1379,104.024595,30.888167,1091
91,749,1,1.170722,0.000105,863,1380,104.024685,30.888167,1091
92,749,0,0.170722,1.5e-05,863,1381,104.024775,30.888167,1091
93,749,0,0.32907,3e-05,864,1378,104.024506,30.888077,1091
94,749,1,1.328996,0.000119,864,1379,104.024595,30.888077,1091
95,749,1,1.170722,0.000105,864,1380,104.024685,30.888077,1091
96,749,0,0.170722,1.5e-05,864,1381,104.024775,30.888077,1091
97,749,0,0.341264,3.1e-05,865,1378,104.024506,30.887987,1091
98,749,0,0.625499,5.6e-05,865,1379,104.024595,30.887987,1091
99,749,0,0.625499,5.6e-05,865,1380,104.024685,30.887987,1091
100,749,0,0.170722,1.5e-05,865,1381,104.024775,30.887987,1091
101,779,0,0.021858,2e-06,1441,2467,104.122332,30.836244,1121
102,779,0,0.301574,2.7e-05,1441,2468,104.122422,30.836244,1121
103,779,0,0.311652,2.8e-05,1442,2465,104.122153,30.836154,1121
104,779,0,0.624915,5.6e-05,1442,2466,104.122242,30.836154,1121
105,779,0,0.941345,8.5e-05,1442,2467,104.122332,30.836154,1121
106,779,0,0.811448,7.3e-05,1442,2468,104.122422,30.836154,1121
107,779,0,0.278196,2.5e-05,1443,2465,104.122153,30.836065,1121
108,779,0,0.385596,3.5e-05,1443,2466,104.122242,30.836065,1121
109,779,0,0.358734,3.2e-05,1443,2467,104.122332,30.836065,1121
110,779,0,0.333102,3e-05,1443,2468,104.122422,30.836065,1121
111,779,0,0.067138,6e-06,1443,2469,104.122512,30.836065,1121
112,718,0,0.269105,2.4e-05,895,1475,104.033219,30.885292,1060
113,718,0,0.042476,4e-06,896,1474,104.033129,30.885202,1060
114,718,0,0.911387,8.2e-05,896,1475,104.033219,30.885202,1060
115,718,0,0.955851,8.6e-05,896,1476,104.033309,30.885202,1060
116,718,0,0.640192,5.8e-05,896,1477,104.033399,30.885202,1060
117,718,0,0.383987,3.4e-05,897,1474,104.033129,30.885113,1060
118,718,1,1.291579,0.000116,897,1475,104.033219,30.885113,1060
119,718,1,1.1948,0.000107,897,1476,104.033309,30.885113,1060
120,718,0,0.255007,2.3e-05,897,1477,104.033399,30.885113,1060
121,718,0,0.734854,6.6e-05,898,1474,104.033129,30.885023,1060
122,718,1,1.689686,0.000152,898,1475,104.033219,30.885023,1060
123,718,0,0.80216,7.2e-05,898,1476,104.033309,30.885023,1060
124,718,0,0.182828,1.6e-05,899,1473,104.03304,30.884933,1060
125,718,1,1.125942,0.000101,899,1474,104.033129,30.884933,1060
126,718,1,1.349793,0.000121,899,1475,104.033219,30.884933,1060
127,718,0,0.448128,4e-05,899,1476,104.033309,30.884933,1060
128,718,0,0.550448,4.9e-05,900,1473,104.03304,30.884843,1060
129,718,1,1.498622,0.000135,900,1474,104.033129,30.884843,1060
130,718,0,0.990022,8.9e-05,900,1475,104.033219,30.884843,1060
131,718,0,0.051679,5e-06,900,1476,104.033309,30.884843,1060
132,718,0,0.472392,4.2e-05,901,1473,104.03304,30.884753,1060
133,718,0,0.739528,6.6e-05,901,1474,104.033129,30.884753,1060
134,718,0,0.578528,5.2e-05,901,1475,104.033219,30.884753,1060
135,718,0,0.02252,2e-06,902,1475,104.033219,30.884663,1060
136,182,0,0.153681,1.4e-05,299,886,103.980309,30.938832,182
137,182,0,0.376542,3.4e-05,300,885,103.980219,30.938742,182
138,182,0,0.799699,7.2e-05,300,886,103.980309,30.938742,182
139,182,0,0.023919,2e-06,300,887,103.980398,30.938742,182
140,182,0,0.555856,5e-05,301,884,103.980129,30.938652,182
141,182,1,1.16448,0.000105,301,885,103.980219,30.938652,182
142,182,0,0.587068,5.3e-05,301,886,103.980309,30.938652,182
143,182,0,0.62572,5.6e-05,302,884,103.980129,30.938562,182
144,182,0,0.482886,4.3e-05,302,885,103.980219,30.938562,182
145,167,0,0.269468,2.4e-05,1420,2521,104.127183,30.838131,167
146,167,0,0.901117,8.1e-05,1420,2522,104.127273,30.838131,167
147,167,0,0.876288,7.9e-05,1420,2523,104.127363,30.838131,167
148,167,0,0.81246,7.3e-05,1420,2524,104.127453,30.838131,167
149,167,0,0.515795,4.6e-05,1421,2522,104.127273,30.838041,167
150,167,0,0.604623,5.4e-05,1421,2523,104.127363,30.838041,167
151,167,0,0.187522,1.7e-05,1421,2524,104.127453,30.838041,167
152,797,0,0.106063,1e-05,294,875,103.97932,30.939281,1139
153,797,0,0.106063,1e-05,294,876,103.97941,30.939281,1139
154,797,0,0.579203,5.2e-05,295,875,103.97932,30.939191,1139
155,797,1,1.079793,9.7e-05,295,876,103.97941,30.939191,1139
156,797,0,0.219941,2e-05,295,877,103.9795,30.939191,1139
157,797,0,0.012674,1e-06,296,875,103.97932,30.939101,1139
158,797,0,0.732991,6.6e-05,296,876,103.97941,30.939101,1139
159,797,0,0.755862,6.8e-05,296,877,103.9795,30.939101,1139
160,797,0,0.083519,8e-06,297,876,103.97941,30.939011,1139
161,797,0,0.795454,7.1e-05,297,877,103.9795,30.939011,1139
162,797,0,0.21063,1.9e-05,297,878,103.97959,30.939011,1139
163,802,0,0.114819,1e-05,1446,2469,104.122512,30.835795,1144
164,802,0,0.300648,2.7e-05,1446,2470,104.122602,30.835795,1144
165,802,0,0.069977,6e-06,1447,2465,104.122153,30.835705,1144
166,802,0,0.308022,2.8e-05,1447,2466,104.122242,30.835705,1144
167,802,0,0.554873,5e-05,1447,2467,104.122332,30.835705,1144
168,802,0,0.824048,7.4e-05,1447,2468,104.122422,30.835705,1144
169,802,1,1.06223,9.5e-05,1447,2469,104.122512,30.835705,1144
170,802,0,0.864053,7.8e-05,1447,2470,104.122602,30.835705,1144
171,802,0,0.720956,6.5e-05,1448,2464,104.122063,30.835615,1144
172,802,1,1.062255,9.5e-05,1448,2465,104.122153,30.835615,1144
173,802,1,1.256271,0.000113,1448,2466,104.122242,30.835615,1144
174,802,1,1.498738,0.000135,1448,2467,104.122332,30.835615,1144
175,802,1,1.756275,0.000158,1448,2468,104.122422,30.835615,1144
176,802,2,2.014637,0.000181,1448,2469,104.122512,30.835615,1144
177,802,1,1.287124,0.000116,1448,2470,104.122602,30.835615,1144
178,802,0,0.292086,2.6e-05,1448,2471,104.122692,30.835615,1144
179,802,0,0.420792,3.8e-05,1449,2464,104.122063,30.835526,1144
180,802,1,1.336016,0.00012,1449,2465,104.122153,30.835526,1144
181,802,2,2.238134,0.000201,1449,2466,104.122242,30.835526,1144
182,802,2,2.425821,0.000218,1449,2467,104.122332,30.835526,1144
183,802,2,2.194896,0.000197,1449,2468,104.122422,30.835526,1144
184,802,1,1.997825,0.000179,1449,2469,104.122512,30.835526,1144
185,802,1,1.559192,0.00014,1449,2470,104.122602,30.835526,1144
186,802,0,0.603218,5.4e-05,1449,2471,104.122692,30.835526,1144
187,802,0,0.053977,5e-06,1450,2464,104.122063,30.835436,1144
188,802,0,0.990306,8.9e-05,1450,2465,104.122153,30.835436,1144
189,802,1,1.738683,0.000156,1450,2466,104.122242,30.835436,1144
190,802,1,1.46819,0.000132,1450,2467,104.122332,30.835436,1144
191,802,1,1.225283,0.00011,1450,2468,104.122422,30.835436,1144
192,802,1,1.033061,9.3e-05,1450,2469,104.122512,30.835436,1144
193,802,0,0.769944,6.9e-05,1450,2470,104.122602,30.835436,1144
194,802,0,0.536807,4.8e-05,1450,2471,104.122692,30.835436,1144
195,802,0,0.566601,5.1e-05,1451,2465,104.122153,30.835346,1144
196,802,0,0.776379,7e-05,1451,2466,104.122242,30.835346,1144
197,802,0,0.527752,4.7e-05,1451,2467,104.122332,30.835346,1144
198,802,0,0.285361,2.6e-05,1451,2468,104.122422,30.835346,1144
199,802,0,0.068297,6e-06,1451,2469,104.122512,30.835346,1144
200,802,0,0.099807,9e-06,1452,2465,104.122153,30.835256,1144
201,179,0,0.388675,3.5e-05,335,1062,103.996119,30.935598,179
202,179,0,0.137403,1.2e-05,336,1060,103.995939,30.935508,179
203,179,0,0.59963,5.4e-05,336,1061,103.996029,30.935508,179
204,179,1,1.15505,0.000104,336,1062,103.996119,30.935508,179
205,179,0,0.595693,5.4e-05,336,1063,103.996209,30.935508,179
206,179,0,0.070976,6e-06,336,1064,103.996299,30.935508,179
207,179,0,0.018069,2e-06,337,1060,103.995939,30.935418,179
208,179,1,1.018069,9.1e-05,337,1061,103.996029,30.935418,179
209,179,1,1.091636,9.8e-05,337,1062,103.996119,30.935418,179
210,179,0,0.708098,6.4e-05,337,1063,103.996209,30.935418,179
211,179,0,0.593739,5.3e-05,338,1061,103.996029,30.935328,179
212,179,0,0.167372,1.5e-05,338,1062,103.996119,30.935328,179
213,215,0,0.092679,8e-06,1447,2492,104.124578,30.835705,215
214,215,0,0.835473,7.5e-05,1448,2490,104.124398,30.835615,215
215,215,0,0.976846,8.8e-05,1448,2491,104.124488,30.835615,215
216,215,0,0.326459,2.9e-05,1448,2492,104.124578,30.835615,215
217,215,0,0.572184,5.1e-05,1449,2490,104.124398,30.835526,215
218,215,1,1.494416,0.000134,1449,2491,104.124488,30.835526,215
219,215,0,0.545733,4.9e-05,1449,2492,104.124578,30.835526,215
220,215,0,0.390829,3.5e-05,1450,2490,104.124398,30.835436,215
221,215,1,1.346463,0.000121,1450,2491,104.124488,30.835436,215
222,215,0,0.771298,6.9e-05,1450,2492,104.124578,30.835436,215
223,215,0,0.160973,1.4e-05,1451,2490,104.124398,30.835346,215
224,215,0,0.617532,5.5e-05,1451,2491,104.124488,30.835346,215
225,215,0,0.677199,6.1e-05,1451,2492,104.124578,30.835346,215
226,215,0,0.010204,1e-06,1451,2493,104.124668,30.835346,215
227,90,0,0.821157,7.4e-05,913,1483,104.033938,30.883675,90
228,90,0,0.526308,4.7e-05,913,1484,104.034028,30.883675,90
229,90,0,0.273467,2.5e-05,913,1485,104.034118,30.883675,90
230,90,0,0.872296,7.8e-05,914,1483,104.033938,30.883585,90
231,90,1,1.19257,0.000107,914,1484,104.034028,30.883585,90
232,90,0,0.290069,2.6e-05,914,1485,104.034118,30.883585,90
233,90,0,0.872296,7.8e-05,915,1483,104.033938,30.883496,90
234,90,0,0.87071,7.8e-05,915,1484,104.034028,30.883496,90
235,90,0,0.067276,6e-06,915,1485,104.034118,30.883496,90
236,90,0,0.044323,4e-06,916,1483,104.033938,30.883406,90
237,53,0,0.246539,2.2e-05,301,909,103.982375,30.938652,53
238,53,0,0.00834,1e-06,301,910,103.982465,30.938652,53
239,53,0,0.392177,3.5e-05,302,908,103.982285,30.938562,53
240,53,1,1.033166,9.3e-05,302,909,103.982375,30.938562,53
241,53,0,0.853508,7.7e-05,302,910,103.982465,30.938562,53
242,53,0,0.310607,2.8e-05,302,911,103.982554,30.938562,53
243,53,0,0.315393,2.8e-05,303,907,103.982195,30.938472,53
244,53,1,1.166583,0.000105,303,908,103.982285,30.938472,53
245,53,1,1.800583,0.000162,303,909,103.982375,30.938472,53
246,53,1,1.679059,0.000151,303,910,103.982465,30.938472,53
247,53,1,1.153345,0.000104,303,911,103.982554,30.938472,53
248,53,0,0.621996,5.6e-05,303,912,103.982644,30.938472,53
249,53,0,0.075512,7e-06,303,913,103.982734,30.938472,53
250,53,0,0.421459,3.8e-05,304,907,103.982195,30.938383,53
251,53,1,1.161344,0.000104,304,908,103.982285,30.938383,53
252,53,1,1.915545,0.000172,304,909,103.982375,30.938383,53
253,53,2,2.538567,0.000228,304,910,103.982465,30.938383,53
254,53,1,1.816372,0.000163,304,911,103.982554,30.938383,53
255,53,0,0.923512,8.3e-05,304,912,103.982644,30.938383,53
256,53,0,0.15551,1.4e-05,304,913,103.982734,30.938383,53
257,53,0,0.507139,4.6e-05,305,908,103.982285,30.938293,53
258,53,1,1.223403,0.00011,305,909,103.982375,30.938293,53
259,53,1,1.97105,0.000177,305,910,103.982465,30.938293,53
260,53,1,1.351806,0.000121,305,911,103.982554,30.938293,53
261,53,0,0.498005,4.5e-05,305,912,103.982644,30.938293,53
262,53,0,0.562644,5.1e-05,306,909,103.982375,30.938203,53
263,53,1,1.203349,0.000108,306,910,103.982465,30.938203,53
264,53,0,0.904779,8.1e-05,306,911,103.982554,30.938203,53
265,53,0,0.009595,1e-06,306,912,103.982644,30.938203,53
266,53,0,0.482482,4.3e-05,307,910,103.982465,30.938113,53
267,53,0,0.566219,5.1e-05,307,911,103.982554,30.938113,53
268,26,0,0.019821,2e-06,940,1450,104.030974,30.88125,26
269,26,0,0.379373,3.4e-05,941,1449,104.030884,30.88116,26
270,26,0,0.748305,6.7e-05,941,1450,104.030974,30.88116,26
271,26,0,0.22007,2e-05,941,1451,104.031063,30.88116,26
272,26,0,0.34634,3.1e-05,942,1448,104.030794,30.88107,26
273,26,1,1.026963,9.2e-05,942,1449,104.030884,30.88107,26
274,26,0,0.338214,3e-05,942,1450,104.030974,30.88107,26
275,26,0,0.446237,4e-05,943,1447,104.030704,30.88098,26
276,26,1,1.091003,9.8e-05,943,1448,104.030794,30.88098,26
277,26,0,0.377681,3.4e-05,943,1449,104.030884,30.88098,26
278,26,0,0.4403,4e-05,944,1446,104.030614,30.88089,26
279,26,1,1.106406,9.9e-05,944,1447,104.030704,30.88089,26
280,26,0,0.49367,4.4e-05,944,1448,104.030794,30.88089,26
281,26,0,0.447952,4e-05,945,1447,104.030704,30.880801,26
282,238,0,0.189161,1.7e-05,361,1050,103.995041,30.933262,238
283,238,0,0.146806,1.3e-05,361,1051,103.995131,30.933262,238
284,238,0,0.789923,7.1e-05,362,1050,103.995041,30.933172,238
285,238,0,0.927501,8.3e-05,362,1051,103.995131,30.933172,238
286,238,0,0.347302,3.1e-05,362,1052,103.995221,30.933172,238
287,238,0,0.32248,2.9e-05,363,1051,103.995131,30.933083,238
288,238,0,0.692487,6.2e-05,363,1052,103.995221,30.933083,238
289,238,0,0.308028,2.8e-05,363,1053,103.99531,30.933083,238
290,238,0,0.191213,1.7e-05,364,1053,103.99531,30.932993,238
291,238,0,0.126703,1.1e-05,364,1054,103.9954,30.932993,238
292,25,0,0.413395,3.7e-05,386,787,103.971415,30.931016,25
293,25,0,0.346789,3.1e-05,386,788,103.971505,30.931016,25
294,25,0,0.015765,1e-06,386,789,103.971595,30.931016,25
295,25,0,0.353727,3.2e-05,387,787,103.971415,30.930927,25
296,25,1,1.294255,0.000116,387,788,103.971505,30.930927,25
297,25,0,0.828394,7.4e-05,387,789,103.971595,30.930927,25
298,25,0,0.283078,2.5e-05,388,787,103.971415,30.930837,25
299,25,1,1.281539,0.000115,388,788,103.971505,30.930837,25
300,25,0,0.580207,5.2e-05,388,789,103.971595,30.930837,25
301,25,0,0.26144,2.3e-05,389,787,103.971415,30.930747,25
302,25,0,0.771993,6.9e-05,389,788,103.971505,30.930747,25
303,25,0,0.458005,4.1e-05,389,789,103.971595,30.930747,25
304,25,0,0.071821,6e-06,390,789,103.971595,30.930657,25
305,91,0,0.408626,3.7e-05,1512,2398,104.116134,30.829866,91
306,91,0,0.399827,3.6e-05,1512,2399,104.116224,30.829866,91
307,91,0,0.534985,4.8e-05,1513,2399,104.116224,30.829776,91
308,91,0,0.373149,3.4e-05,1513,2400,104.116313,30.829776,91
309,91,0,0.638596,5.7e-05,1514,2400,104.116313,30.829686,91
310,91,0,0.31987,2.9e-05,1514,2401,104.116403,30.829686,91
311,91,0,0.03583,3e-06,1515,2400,104.116313,30.829597,91
312,91,0,0.708503,6.4e-05,1515,2401,104.116403,30.829597,91
313,91,0,0.423936,3.8e-05,1515,2402,104.116493,30.829597,91
314,91,0,0.160283,1.4e-05,1516,2401,104.116403,30.829507,91
315,209,0,0.083889,8e-06,1507,2336,104.110564,30.830315,209
316,209,0,0.347134,3.1e-05,1508,2335,104.110474,30.830225,209
317,209,0,0.466864,4.2e-05,1508,2336,104.110564,30.830225,209
318,209,0,0.103076,9e-06,1509,2333,104.110295,30.830136,209
319,209,0,0.610811,5.5e-05,1509,2334,104.110385,30.830136,209
320,209,0,0.204963,1.8e-05,1509,2335,104.110474,30.830136,209
321,209,0,0.081468,7e-06,1510,2332,104.110205,30.830046,209
322,209,0,0.303017,2.7e-05,1510,2333,104.110295,30.830046,209
323,209,0,0.011515,1e-06,1510,2334,104.110385,30.830046,209
324,72,0,0.47741,4.3e-05,1434,2471,104.122692,30.836873,72
325,72,0,0.958424,8.6e-05,1434,2472,104.122781,30.836873,72
326,72,0,0.729567,6.6e-05,1434,2473,104.122871,30.836873,72
327,72,0,0.434051,3.9e-05,1435,2471,104.122692,30.836783,72
328,72,0,0.388041,3.5e-05,1435,2472,104.122781,30.836783,72
329,72,0,0.328374,2.9e-05,1435,2473,104.122871,30.836783,72
330,783,0,0.307557,2.8e-05,1441,2474,104.122961,30.836244,1125
331,783,0,0.661527,5.9e-05,1441,2475,104.123051,30.836244,1125
332,783,0,0.608595,5.5e-05,1441,2476,104.123141,30.836244,1125
333,783,0,0.823759,7.4e-05,1442,2475,104.123051,30.836154,1125
334,783,0,0.847321,7.6e-05,1442,2476,104.123141,30.836154,1125
335,783,0,0.074418,7e-06,1443,2475,104.123051,30.836065,1125
336,783,0,0.049426,4e-06,1443,2476,104.123141,30.836065,1125
337,731,0,0.351452,3.2e-05,1468,2321,104.109217,30.833819,1073
338,731,0,0.011822,1e-06,1469,2319,104.109037,30.833729,1073
339,731,0,0.612587,5.5e-05,1469,2320,104.109127,30.833729,1073
340,731,1,1.125078,0.000101,1469,2321,104.109217,30.833729,1073
341,731,0,0.428778,3.9e-05,1469,2322,104.109307,30.833729,1073
342,731,0,0.268625,2.4e-05,1470,2318,104.108947,30.833639,1073
343,731,0,0.822869,7.4e-05,1470,2319,104.109037,30.833639,1073
344,731,1,1.403113,0.000126,1470,2320,104.109127,30.833639,1073
345,731,1,1.823864,0.000164,1470,2321,104.109217,30.833639,1073
346,731,1,1.099691,9.9e-05,1470,2322,104.109307,30.833639,1073
347,731,0,0.358155,3.2e-05,1470,2323,104.109396,30.833639,1073
348,731,0,0.042626,4e-06,1471,2316,104.108768,30.833549,1073
349,731,0,0.529065,4.8e-05,1471,2317,104.108857,30.833549,1073
350,731,1,1.11439,0.0001,1471,2318,104.108947,30.833549,1073
351,731,1,1.669054,0.00015,1471,2319,104.109037,30.833549,1073
352,731,1,1.887779,0.00017,1471,2320,104.109127,30.833549,1073
353,731,1,1.307463,0.000117,1471,2321,104.109217,30.833549,1073
354,731,0,0.690105,6.2e-05,1471,2322,104.109307,30.833549,1073
355,731,0,0.209897,1.9e-05,1471,2323,104.109396,30.833549,1073
356,731,0,0.215592,1.9e-05,1472,2315,104.108678,30.833459,1073
357,731,0,0.869417,7.8e-05,1472,2316,104.108768,30.833459,1073
358,731,1,1.385218,0.000124,1472,2317,104.108857,30.833459,1073
359,731,1,1.926006,0.000173,1472,2318,104.108947,30.833459,1073
360,731,1,1.688624,0.000152,1472,2319,104.109037,30.833459,1073
361,731,1,1.139882,0.000102,1472,2320,104.109127,30.833459,1073
362,731,0,0.473822,4.3e-05,1472,2321,104.109217,30.833459,1073
363,731,0,0.30895,2.8e-05,1473,2316,104.108768,30.83337,1073
364,731,1,1.111973,0.0001,1473,2317,104.108857,30.83337,1073
365,731,1,1.359415,0.000122,1473,2318,104.108947,30.83337,1073
366,731,0,0.844824,7.6e-05,1473,2319,104.109037,30.83337,1073
367,731,0,0.316635,2.8e-05,1473,2320,104.109127,30.83337,1073
368,731,0,0.443727,4e-05,1474,2317,104.108857,30.83328,1073
369,731,0,0.505243,4.5e-05,1474,2318,104.108947,30.83328,1073
370,731,0,0.011966,1e-06,1474,2319,104.109037,30.83328,1073
371,66,0,0.766263,6.9e-05,882,1395,104.026033,30.88646,66
372,66,0,0.429953,3.9e-05,882,1396,104.026123,30.88646,66
373,66,0,0.102604,9e-06,882,1397,104.026212,30.88646,66
374,66,0,0.514053,4.6e-05,883,1394,104.025943,30.88637,66
375,66,1,1.368252,0.000123,883,1395,104.026033,30.88637,66
376,66,1,1.353687,0.000122,883,1396,104.026123,30.88637,66
377,66,0,0.439875,4e-05,883,1397,104.026212,30.88637,66
378,66,0,0.223689,2e-05,884,1393,104.025853,30.88628,66
379,66,1,1.044594,9.4e-05,884,1394,104.025943,30.88628,66
380,66,1,1.817406,0.000163,884,1395,104.026033,30.88628,66
381,66,0,0.880914,7.9e-05,884,1396,104.026123,30.88628,66
382,66,0,0.033737,3e-06,884,1397,104.026212,30.88628,66
383,66,0,0.00614,1e-06,885,1392,104.025763,30.886191,66
384,66,0,0.794754,7.1e-05,885,1393,104.025853,30.886191,66
385,66,1,1.615659,0.000145,885,1394,104.025943,30.886191,66
386,66,1,1.374633,0.000123,885,1395,104.026033,30.886191,66
387,66,0,0.464465,4.2e-05,885,1396,104.026123,30.886191,66
388,66,0,0.341967,3.1e-05,886,1393,104.025853,30.886101,66
389,66,0,0.705326,6.3e-05,886,1394,104.025943,30.886101,66
390,66,0,0.934044,8.4e-05,886,1395,104.026033,30.886101,66
391,66,0,0.090415,8e-06,886,1396,104.026123,30.886101,66
392,66,0,0.096007,9e-06,887,1395,104.026033,30.886011,66
393,178,0,0.126086,1.1e-05,387,790,103.971685,30.930927,178
394,178,0,0.060162,5e-06,387,791,103.971775,30.930927,178
395,178,0,0.336856,3e-05,388,790,103.971685,30.930837,178
396,178,0,0.944504,8.5e-05,388,791,103.971775,30.930837,178
397,178,0,0.52578,4.7e-05,388,792,103.971864,30.930837,178
398,178,0,0.152036,1.4e-05,388,793,103.971954,30.930837,178
